EDAD,muertes
1,90
2,28
3,17
4,16
5,11
6,14
7,12
8,17
9,15
10,20
11,15
12,23
13,20
14,20
15,29
16,41
17,56
18,43
19,67
20,109
21,122
22,140
23,164
24,208
25,220
26,311
27,318
28,385
29,430
30,540
31,564
32,622
33,662
34,755
35,870
36,927
37,1011
38,1174
39,1275
40,1418
41,1547
42,1735
43,1888
44,2157
45,2497
46,2749
47,2973
48,3083
49,3301
50,3472
51,3746
52,4037
53,4126
54,4343
55,4648
56,5185
57,5149
58,5258
59,5652
60,5892
61,6073
62,5964
63,6318
64,6158
65,6517
66,6248
67,6220
68,6274
69,5926
70,6128
71,5949
72,5663
73,5333
74,5155
75,4848
76,4688
77,4542
78,4444
79,3926
80,3729
81,3239
82,3030
83,2734
84,2502
85,2272
86,1926
87,1803
88,1404
89,1144
90,964
91,827
92,522
93,409
94,344
95,270
96,188
97,150
98,88
99,64
100,58
101,18
102,8
103,8
104,4
106,1
108,2
109,1
